#multi:
 cart  mass A  
t x y x y 
0.000000E0 5.207434E-2 -4.075383E-2 6.226280E-2 -4.131986E-1
1.667926E-2 5.208600E-2 -4.077046E-2 6.177796E-2 -4.147070E-1
3.335853E-2 5.211247E-2 -4.077064E-2 6.103781E-2 -4.162157E-1
5.003779E-2 5.210601E-2 -4.076918E-2 6.053056E-2 -4.176429E-1
6.671706E-2 5.209319E-2 -4.076692E-2 5.984817E-2 -4.189301E-1
8.339632E-2 5.198630E-2 -4.081464E-2 5.899948E-2 -4.202118E-1
1.000756E-1 5.188529E-2 -4.089533E-2 5.826574E-2 -4.214456E-1
1.167549E-1 5.078455E-2 -4.084606E-2 5.732203E-2 -4.226984E-1
1.334341E-1 4.886912E-2 -4.089481E-2 5.648226E-2 -4.246780E-1
1.501134E-1 4.594967E-2 -4.088277E-2 5.553868E-2 -4.274387E-1
1.667926E-1 4.287941E-2 -4.080788E-2 5.460580E-2 -4.301360E-1
1.834719E-1 3.970523E-2 -4.076467E-2 5.372791E-2 -4.326474E-1
2.001512E-1 3.648322E-2 -4.077535E-2 5.253971E-2 -4.345989E-1
2.168304E-1 3.327629E-2 -4.076075E-2 5.143577E-2 -4.365446E-1
2.335097E-1 2.995243E-2 -4.070330E-2 5.033984E-2 -4.381712E-1
2.501890E-1 2.720747E-2 -4.070367E-2 4.935845E-2 -4.388607E-1
2.668682E-1 2.367767E-2 -4.071995E-2 4.860826E-2 -4.386545E-1
2.835475E-1 1.957172E-2 -4.071359E-2 4.805794E-2 -4.384696E-1
3.002268E-1 1.533137E-2 -4.067198E-2 3.962178E-2 -4.347076E-1
3.169060E-1 1.130509E-2 -4.076914E-2 3.735768E-2 -4.347076E-1
3.335853E-1 7.010261E-3 -4.077061E-2 3.735768E-2 -4.347076E-1
3.502646E-1 2.166680E-3 -4.081127E-2 3.735768E-2 -4.347076E-1
3.669438E-1 -3.136326E-3 -4.074240E-2 3.735768E-2 -4.347076E-1
3.836231E-1 -8.799522E-3 -4.060612E-2 3.282948E-2 -4.347076E-1
4.003023E-1 -1.516943E-2 -4.072985E-2 3.169743E-2 -4.347076E-1
4.169816E-1 -2.114025E-2 -4.084214E-2 2.943333E-2 -4.324435E-1
4.336609E-1 -2.837198E-2 -4.060991E-2 2.603717E-2 -4.301794E-1
4.503401E-1 -3.651671E-2 -4.135429E-2 2.377307E-2 -4.301794E-1
4.670194E-1 -4.480409E-2 -4.158629E-2 2.150897E-2 -4.301794E-1
4.836987E-1 -5.306047E-2 -4.111506E-2 1.811282E-2 -4.256512E-1
5.003779E-1 -6.096433E-2 -4.093386E-2 1.358461E-2 -4.222550E-1
5.170572E-1 -6.859951E-2 -4.070460E-2 1.901191E-2 -4.238850E-1
5.337365E-1 -7.624079E-2 -4.035008E-2 1.692269E-2 -4.226315E-1
5.504157E-1 -8.324020E-2 -4.043345E-2 1.190856E-2 -4.197066E-1
5.670950E-1 -9.094905E-2 -4.050235E-2 7.312275E-3 -4.188709E-1
5.837743E-1 -9.843886E-2 -4.045637E-2 3.969521E-3 -4.184530E-1
6.004535E-1 -1.055940E-1 -3.991161E-2 -1.951512E-3 -4.169513E-1
6.171328E-1 -1.079524E-1 -3.896409E-2 -7.974924E-3 -4.153270E-1
6.338120E-1 -1.095442E-1 -3.852523E-2 -1.429320E-2 -4.134116E-1
6.504913E-1 -1.107337E-1 -3.909838E-2 -2.157910E-2 -4.118970E-1
6.671706E-1 -1.118516E-1 -3.943702E-2 -2.883585E-2 -4.118340E-1
6.838498E-1 -1.127733E-1 -3.923719E-2 -3.636783E-2 -4.122266E-1
7.005291E-1 -1.131880E-1 -3.898634E-2 -4.369142E-2 -4.116995E-1
7.172084E-1 -1.131846E-1 -3.922376E-2 -5.094905E-2 -4.102539E-1
7.338876E-1 -1.126138E-1 -3.943823E-2 -5.868872E-2 -4.091424E-1
7.505669E-1 -1.117633E-1 -3.916212E-2 -6.603448E-2 -4.090629E-1
7.672462E-1 -1.109220E-1 -3.912013E-2 -7.328800E-2 -4.085907E-1
